Photo,Isomeric_SMILES,SMILES_without_chirality
692,CC1COC(C)(COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)O1,CC1COC(C)(COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)O1
693,O=C(OCCCOCc1ccccc1)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,O=C(OCCCOCc1ccccc1)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
694,CC(COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)OCCC(Cl)CCl,CC(COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)OCCC(Cl)CCl
695,O=C(OCCCCOC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,O=C(OCCCCOC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
696,O=C(OCCOCCS(=O)(=O)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C(OCCOCCS(=O)(=O)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
697,O=C(OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C(OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
698,CCCCCCC(=O)OC,CCCCCCC(=O)OC
699,CCOC(=O)CP(=O)(OC)OC,CCOC(=O)CP(=O)(OC)OC
700,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C
701,CCOC(=O)CC(=O)OCC,CCOC(=O)CC(=O)OCC
702,CCOC(=O)C(C(=O)OCC)[N+](=O)[O-],CCOC(=O)C(C(=O)OCC)[N+](=O)[O-]
703,CCOC(=O)C(Cl)C(=O)OCC,CCOC(=O)C(Cl)C(=O)OCC
704,Cc1ccc2oc(=O)ccc2c1,Cc1ccc2oc(=O)ccc2c1
705,CC1(F)C=Cc2oc(=O)ccc2C1=O,CC1(F)C=Cc2oc(=O)ccc2C1=O
706,COc1ccc2ccc(=O)oc2c1,COc1ccc2ccc(=O)oc2c1
707,COc1ccc2ccc(=O)oc2c1F,COc1ccc2ccc(=O)oc2c1F
708,Cc1ccc2ncccc2c1,Cc1ccc2ncccc2c1
709,COc1ccc2ncccc2c1,COc1ccc2ncccc2c1
710,OCc1cccc(O)c1,OCc1cccc(O)c1
711,COc1ccccc1,COc1ccccc1
712,Cc1ccc(S(=O)(=O)N2C3CCCCC32)cc1,Cc1ccc(S(=O)(=O)N2C3CCCCC32)cc1
713,Cc1ccc(S(=O)(=O)N[C@@H]2CCCC[C@H]2c2c[nH]c3ccccc23)cc1,Cc1ccc(S(=O)(=O)NC2CCCCC2c2c[nH]c3ccccc23)cc1
714,COc1ccccc1,COc1ccccc1
715,O=C1C=CCC1,O=C1C=CCC1
716,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1
717,Cc1[nH]c2ccccc2c1C(C[N+](=O)[O-])c1ccccc1,Cc1[nH]c2ccccc2c1C(C[N+](=O)[O-])c1ccccc1
718,C=CC(c1ccccc1)C(O)C1CCCCC1,C=CC(c1ccccc1)C(O)C1CCCCC1
719,OC(C/C=C/c1ccccc1)C1CCCCC1,OC(CC=Cc1ccccc1)C1CCCCC1
720,CCCN(CCC)CCC#N,CCCN(CCC)CCC#N
721,O=C1C=CN(c2ccccc2)C(c2ccccc2)C1,O=C1C=CN(c2ccccc2)C(c2ccccc2)C1
722,CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1,CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
723,CCOC(=O)CC(C)=O,CCOC(=O)CC(C)=O
724,CCCCOCC(=O)c1ccccc1,CCCCOCC(=O)c1ccccc1
725,COC(=O)C(CCCC#C[Ar])C(C)=O,COC(=O)C(CCCC#C[Ar])C(C)=O
726,COC(=O)[C@]1(C(C)=O)CCC=C1C(=O)[Ar],COC(=O)C1(C(C)=O)CCC=C1C(=O)[Ar]
727,O=C(O)CCCC(=O)c1ccccc1,O=C(O)CCCC(=O)c1ccccc1
728,O=C1CCC(C(=O)c2ccccc2)O1,O=C1CCC(C(=O)c2ccccc2)O1
729,c1ncc2cn[nH]c2n1,c1ncc2cn[nH]c2n1
730,CCOC=C(C#N)C#N,CCOC=C(C#N)C#N
731,N#Cc1cn[nH]c1N,N#Cc1cn[nH]c1N
732,Nc1ncnc2[nH]ncc12,Nc1ncnc2[nH]ncc12
733,Nc1nc(O)nc2[nH]ncc12,Nc1nc(O)nc2[nH]ncc12
734,Nc1nc(S)nc2[nH]ncc12,Nc1nc(S)nc2[nH]ncc12
735,NC(=O)c1cn[nH]c1N,NC(=O)c1cn[nH]c1N
736,Oc1nc(O)c2cn[nH]c2n1,Oc1nc(O)c2cn[nH]c2n1
737,Oc1nc(S)nc2[nH]ncc12,Oc1nc(S)nc2[nH]ncc12
738,CSc1nc(O)c2cn[nH]c2n1,CSc1nc(O)c2cn[nH]c2n1
739,CSc1nc(Cl)c2cn[nH]c2n1,CSc1nc(Cl)c2cn[nH]c2n1
740,CSc1nn(-c2ccccc2)c(N)c1C(N)=O,CSc1nn(-c2ccccc2)c(N)c1C(N)=O
741,CSc1nn(-c2ccccc2)c(N)c1C#N,CSc1nn(-c2ccccc2)c(N)c1C#N
742,CSc1nn(-c2ccccc2)c2nc(O)nc(O)c12,CSc1nn(-c2ccccc2)c2nc(O)nc(O)c12
743,CCOC(=O)c1c(-c2ccccc2)n[nH]c1NC(=S)NC(=O)c1ccccc1,CCOC(=O)c1c(-c2ccccc2)n[nH]c1NC(=S)NC(=O)c1ccccc1
744,CSc1nc(O)c2c(SC)nn(-c3ccccc3)c2n1,CSc1nc(O)c2c(SC)nn(-c3ccccc3)c2n1
745,CS(=O)(=O)N(CCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,CS(=O)(=O)N(CCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
746,Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
747,CS(=O)(=O)Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,CS(=O)(=O)Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
748,CCOC(=O)C[C@H](O)CCl,CCOC(=O)CC(O)CCl
749,CCOC(=O)C[C@H]1CO1,CCOC(=O)CC1CO1
750,CCOC(=O)C[C@H](O)CC#N,CCOC(=O)CC(O)CC#N
751,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O
752,CC[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CCCCN=[N+]=[N-])C(=O)N[C@@H](CC(C)C)C(=O)O,CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)CCCCN=[N+]=[N-])C(=O)NC(CC(C)C)C(=O)O
753,N#CC(C#N)=C1OCCO1,N#CC(C#N)=C1OCCO1
754,N#Cc1c(OCCO)n[nH]c1N,N#Cc1c(OCCO)n[nH]c1N
755,CN(C)/C=N/c1[nH]nc(OCCO)c1C#N,CN(C)C=Nc1[nH]nc(OCCO)c1C#N
756,Nc1ncnc2[nH]nc(I)c12,Nc1ncnc2[nH]nc(I)c12
757,CC(C)(C)n1nc(-c2ccccc2)c2c(N)ncnc21,CC(C)(C)n1nc(-c2ccccc2)c2c(N)ncnc21
758,O=c1[nH]cnc2c1cnn2CC(O)c1ccccc1,O=c1[nH]cnc2c1cnn2CC(O)c1ccccc1
759,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21
760,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21
761,OCc1c2ccccc2cc2ccccc12,OCc1c2ccccc2cc2ccccc12
762,COc1ccccc1,COc1ccccc1
763,COc1ccccc1Cl,COc1ccccc1Cl
764,COc1ccc(Cl)cc1,COc1ccc(Cl)cc1
765,[N-]=[N+]=NCC[NH3+],[N-]=[N+]=NCC[NH3+]
766,C#CC[NH3+],C#CC[NH3+]
767,[NH3+]CCn1cc(C[NH3+])nn1,[NH3+]CCn1cc(C[NH3+])nn1
768,[NH3+]CCn1nncc1C[NH3+],[NH3+]CCn1nncc1C[NH3+]
769,O=C1C=CC(=O)N1C1CCCCC1,O=C1C=CC(=O)N1C1CCCCC1
770,O=Cc1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1
771,O=C1C=CC(=O)N1[C@H]1[C@@H]2CC3C[C@@H](C2)C[C@@H]1C3,O=C1C=CC(=O)N1C1C2CC3CC(C2)CC1C3
772,OCc1c2ccccc2cc2ccccc12,OCc1c2ccccc2cc2ccccc12
773,CCOC(=O)CC(=O)OCC,CCOC(=O)CC(=O)OCC
774,CC1CCC(C(C)(C)O)C(O)C1,CC1CCC(C(C)(C)O)C(O)C1
775,CC1(C)OC(=O)CC(=O)O1,CC1(C)OC(=O)CC(=O)O1
776,CC1(C)OC(=O)C(=Cc2ccc3ccccc3c2)C(=O)O1,CC1(C)OC(=O)C(=Cc2ccc3ccccc3c2)C(=O)O1
777,O=Cc1ccccn1,O=Cc1ccccn1
778,C#Cc1cc(O)c(-c2c(O)cc(C#C)c3cc(Cl)ccc23)c2ccc(Cl)cc12,C#Cc1cc(O)c(-c2c(O)cc(C#C)c3cc(Cl)ccc23)c2ccc(Cl)cc12
779,C=C(C)[C@@H]1CC[C@@H](C)C[C@H]1O,C=C(C)C1CCC(C)CC1O
780,C=C(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,C=C(C)C1CCC(C)CC1O
781,C=C(C)[C@H]1CC[C@@H](C)C[C@@H]1O,C=C(C)C1CCC(C)CC1O
782,C=C(C)[C@H]1CC[C@@H](C)C[C@H]1O,C=C(C)C1CCC(C)CC1O
783,O=Cc1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1
784,CC1(C)OC(=O)CC(=O)O1,CC1(C)OC(=O)CC(=O)O1
785,CC(C)=C=CCCCO,CC(C)=C=CCCCO
786,Cc1ncc(CO)c(CN)c1O,Cc1ncc(CO)c(CN)c1O
787,O=C1C=CC(=O)N1C1CCCCC1,O=C1C=CC(=O)N1C1CCCCC1
788,O=Cc1ccccn1,O=Cc1ccccn1
789,Nc1ccc(-c2cc(OC[C@@H](O)CO)c(-c3ccc(N)cc3)cc2OC[C@@H](O)CO)cc1,Nc1ccc(-c2cc(OCC(O)CO)c(-c3ccc(N)cc3)cc2OCC(O)CO)cc1
790,C=CC1=C(c2ccccc2)C([Sn](CCCC)(CCCC)CCCC)c2ccccc21,C=CC1=C(c2ccccc2)C([Sn](CCCC)(CCCC)CCCC)c2ccccc21
791,C/C=C1\C(c2ccccc2)=C([Sn](CCCC)(CCCC)CCCC)c2ccccc21,CC=C1C(c2ccccc2)=C([Sn](CCCC)(CCCC)CCCC)c2ccccc21
792,CCCC[Sn](CCCC)(CCCC)c1c(-c2ccccc2)ccc2ccccc12,CCCC[Sn](CCCC)(CCCC)c1c(-c2ccccc2)ccc2ccccc12
793,OC/C=C/c1ccccc1Br,OCC=Cc1ccccc1Br
794,IC/C=C/c1ccccc1C#Cc1ccccc1,ICC=Cc1ccccc1C#Cc1ccccc1
795,OC/C=C/c1ccccc1C#Cc1ccccc1,OCC=Cc1ccccc1C#Cc1ccccc1
796,O=C1CCCCCO1,O=C1CCCCCO1
797,O=C1OCCCO1,O=C1OCCCO1
798,CC1OC(=O)C(C)OC1=O,CC1OC(=O)C(C)OC1=O
799,C[C@@H]1OC(=O)[C@H](C)OC1=O,CC1OC(=O)C(C)OC1=O
800,C1CCC2OC2C1,C1CCC2OC2C1
801,CC1CO1,CC1CO1
802,CC(C)(C)c1cc(CN2CCOCCOCCOCCOCC2)c(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(CN2CCOCCOCCOCCOCC2)c(O)c(C(C)(C)C)c1
803,CC(=N\c1c(C(C)C)cccc1C(C)C)/C(C)=N/c1c(C(C)C)cccc1C(C)C,CC(=Nc1c(C(C)C)cccc1C(C)C)C(C)=Nc1c(C(C)C)cccc1C(C)C
804,CC(=C/C=O)/C=C/c1ccccc1,CC(C=Cc1ccccc1)=CC=O
805,CCCCC(=C/C=O)/C=C/c1ccc(Cl)cc1,CCCCC(C=Cc1ccc(Cl)cc1)=CC=O
806,CC(=C/C=O)/C=C/c1ccc(C(F)(F)F)cc1,CC(C=Cc1ccc(C(F)(F)F)cc1)=CC=O
807,CC(=C/C=O)/C=C/c1ccc(C)cc1,CC(C=Cc1ccc(C)cc1)=CC=O
808,O=C/C=C(\C=C\c1ccccc1)c1ccccc1,O=CC=C(C=Cc1ccccc1)c1ccccc1
809,CC(C)(C)c1cc(/C=N/[C@@H]2CCCC[C@H]2/N=C/c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(C=NC2CCCCC2N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
810,COC(=O)c1cc(C(=O)OC)c2c(n1)c(OC)cc1cc(C(=O)OC)[nH]c12,COC(=O)c1cc(C(=O)OC)c2c(n1)c(OC)cc1cc(C(=O)OC)[nH]c12
811,Oc1c(Br)c(Br)c(O)c(Br)c1Br,Oc1c(Br)c(Br)c(O)c(Br)c1Br
812,O=C1C(Br)=C(Br)C(=O)C(Br)=C1Br,O=C1C(Br)=C(Br)C(=O)C(Br)=C1Br
813,C=CCC1C(=O)N(Cc2ccccc2)C(CC(C)C)C(=O)N1Cc1ccc(OC)cc1,C=CCC1C(=O)N(Cc2ccccc2)C(CC(C)C)C(=O)N1Cc1ccc(OC)cc1
814,C=CCC1NC(=O)C(CC(C)C)N(Cc2ccccc2)C1=O,C=CCC1NC(=O)C(CC(C)C)N(Cc2ccccc2)C1=O
815,Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1
816,Cc1cc(C)cc(C=O)c1,Cc1cc(C)cc(C=O)c1
817,CCCCCCCC[C@H]1CCC2C3CCc4cc(OC)cc(C)c4C3CC[C@@]21C,CCCCCCCCC1CCC2C3CCc4cc(OC)cc(C)c4C3CCC12C
818,CCCCCCCC[C@H]1CCC2C3CCc4cc(OC)cc(C=O)c4C3CC[C@@]21C,CCCCCCCCC1CCC2C3CCc4cc(OC)cc(C=O)c4C3CCC12C
819,COc1c(OC)c2c(c3c1C(O)(c1cc(-c4ccccc4)cc(-c4ccccc4)c1)CC3)CCC2(O)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,COc1c(OC)c2c(c3c1C(O)(c1cc(-c4ccccc4)cc(-c4ccccc4)c1)CC3)CCC2(O)c1cc(-c2ccccc2)cc(-c2ccccc2)c1
820,Cc1[nH]c(=O)[nH]c(=O)c1CO,Cc1[nH]c(=O)[nH]c(=O)c1CO
821,O=[N+]([O-])c1ccc(CO)cc1,O=[N+]([O-])c1ccc(CO)cc1
822,O=C(O)C(O)(C/C=C/CC1C=CCC1)C(=O)O,O=C(O)C(O)(CC=CCC1C=CCC1)C(=O)O
823,C=CCCCCCC,C=CCCCCCC
824,OC1(C2(O)CCCCC2)CCCCC1,OC1(C2(O)CCCCC2)CCCCC1
825,O=C(C1CCCCC1)C(O)C1CCCCC1,O=C(C1CCCCC1)C(O)C1CCCCC1
826,CCCC(C)=O,CCCC(C)=O
827,CC/C=C\CCC(=O)CCC(C)=O,CCC=CCCC(=O)CCC(C)=O
828,O=C([Ar])C(=O)[Ar],O=C([Ar])C(=O)[Ar]
829,CCC/C=C/CCC,CCCC=CCCC
830,C=C(C)[C@H]1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1
831,COC(=O)C(C(=O)OC)=C1CC[C@@H](C)C2=C1CC(C)(C)C2=O,COC(=O)C(C(=O)OC)=C1CCC(C)C2=C1CC(C)(C)C2=O
832,O=C1C=CC2(CCCCO2)OC1,O=C1C=CC2(CCCCO2)OC1
833,COC(=O)CCCCCCC1C(=O)CCC1C=O,COC(=O)CCCCCCC1C(=O)CCC1C=O
834,COC(=O)[C@@]1(O)CCc2c(O)c3c(c(O)c2C1)C(=O)c1ccccc1C3=O,COC(=O)C1(O)CCc2c(O)c3c(c(O)c2C1)C(=O)c1ccccc1C3=O
835,CC(=O)CCC1=C(C)CCCC1(C)C,CC(=O)CCC1=C(C)CCCC1(C)C
836,COC(=O)c1c(C)oc(C)cc1=O,COC(=O)c1c(C)oc(C)cc1=O
837,O=C(c1ccccc1)C1C(c2ccccc2)N1C1CCCCC1,O=C(c1ccccc1)C1C(c2ccccc2)N1C1CCCCC1
838,CC(C)c1cc(C(C)C)c(P(=O)(c2ccccc2)c2ccccc2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(P(=O)(c2ccccc2)c2ccccc2)c(C(C)C)c1
839,CC(=O)OC1CC(=O)OC/C=C(/C)CC/C=C/1C,CC(=O)OC1CC(=O)OCC=C(C)CCC=C1C
840,COCO[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H]([C@@H](OCOC)C(C)=O)N(C)C(=O)OC,COCOC(CO[Si](C)(C)C(C)(C)C)C(C(OCOC)C(C)=O)N(C)C(=O)OC
841,COC[C@@H]1CCCN1CC(C)=O,COCC1CCCN1CC(C)=O
842,CCCCC=C1C(=O)c2ccccc2C1=O,CCCCC=C1C(=O)c2ccccc2C1=O
843,c1ccc2c(c1)-c1cccc3cccc-2c13,c1ccc2c(c1)-c1cccc3cccc-2c13
844,COC(=O)C1CC=C2C(=C1[Si](C)(C)C)CCN2S(=O)(=O)c1ccc(C)cc1,COC(=O)C1CC=C2C(=C1[Si](C)(C)C)CCN2S(=O)(=O)c1ccc(C)cc1
845,CC(=C=[C]CCCC#CCCCCC#CP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,CC(=C=[C]CCCC#CCCCCC#CP(=O)(c1ccccc1)c1ccccc1)c1ccccc1
846,C#C/C=C/C(=O)n1cc(CCNC(C)=O)c2ccccc21,C#CC=CC(=O)n1cc(CCNC(C)=O)c2ccccc21
847,C#CCNc1ccc(/C=C2\SC(=O)N(CN(C)CCC(Oc3ccc(C(F)(F)F)cc3)c3ccccc3)C2=O)cc1,C#CCNc1ccc(C=C2SC(=O)N(CN(C)CCC(Oc3ccc(C(F)(F)F)cc3)c3ccccc3)C2=O)cc1
848,CN(CCCCCNc1c2c(nc3ccccc13)CCCC2)C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CN(CCCCCNc1c2c(nc3ccccc13)CCCC2)C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
849,Cc1c(C)c2ccc(OCCN3CCN(CCCNC4=C5C=CC=CC5N=C5CCCCC54)CC3)cc2oc1=O,Cc1c(C)c2ccc(OCCN3CCN(CCCNC4=C5C=CC=CC5N=C5CCCCC54)CC3)cc2oc1=O
850,C#CCN(C)[C@@H](C)Cc1ccc(OCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,C#CCN(C)C(C)Cc1ccc(OCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1
851,C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2cc1C#N,C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2cc1C#N
852,C#CCN(C)c1nc(CCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,C#CCN(C)c1nc(CCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N
853,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C
854,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1
855,O=Cc1ccc(O)cc1,O=Cc1ccc(O)cc1
856,ClCCBr,ClCCBr
857,O=Cc1ccc(OCCCl)cc1,O=Cc1ccc(OCCCl)cc1
858,NCCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12
859,O=Cc1ccc(OCCNCCc2c[nH]c3ccccc23)cc1,O=Cc1ccc(OCCNCCc2c[nH]c3ccccc23)cc1
860,O=Cc1c[nH]c2ccccc12,O=Cc1c[nH]c2ccccc12
861,NC(N)=S,NC(N)=S
862,O=Cc1c[nH]c2ccccc12,O=Cc1c[nH]c2ccccc12
863,O=Cc1ccc(OCc2ccccc2)cc1,O=Cc1ccc(OCc2ccccc2)cc1
864,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3c[nH]c4ccccc34)c1=O)=N2,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3c[nH]c4ccccc34)c1=O)=N2
865,CC1(C)CC(=O)C2=C(C1)N=c1s/c(=C\c3c[nH]c4ccccc34)c(=O)n1C2c1c[nH]c2ccccc12,CC1(C)CC(=O)C2=C(C1)N=c1sc(=Cc3c[nH]c4ccccc34)c(=O)n1C2c1c[nH]c2ccccc12
866,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3c[nH]c4ccccc34)c1=O)=N2,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3c[nH]c4ccccc34)c1=O)=N2
867,COc1ccc(C2CC(=O)C3=C(C2)N=c2s/c(=C\c4c[nH]c5ccccc45)c(=O)n2C3c2c[nH]c3ccccc23)cc1,COc1ccc(C2CC(=O)C3=C(C2)N=c2sc(=Cc4c[nH]c5ccccc45)c(=O)n2C3c2c[nH]c3ccccc23)cc1
868,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3ccc(OCc4ccccc4)cc3)c1=O)=N2,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3ccc(OCc4ccccc4)cc3)c1=O)=N2
869,CC1(C)CC(=O)C2=C(C1)N=c1s/c(=C\c3ccc(OCc4ccccc4)cc3)c(=O)n1C2c1c[nH]c2ccccc12,CC1(C)CC(=O)C2=C(C1)N=c1sc(=Cc3ccc(OCc4ccccc4)cc3)c(=O)n1C2c1c[nH]c2ccccc12
870,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3ccc(OCc4ccccc4)cc3)c1=O)=N2,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3ccc(OCc4ccccc4)cc3)c1=O)=N2
871,COc1ccc(C2CC(=O)C3=C(C2)N=c2s/c(=C\c4ccc(OCc5ccccc5)cc4)c(=O)n2C3c2c[nH]c3ccccc23)cc1,COc1ccc(C2CC(=O)C3=C(C2)N=c2sc(=Cc4ccc(OCc5ccccc5)cc4)c(=O)n2C3c2c[nH]c3ccccc23)cc1
872,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c1=O)=N2,O=C1CCCC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c1=O)=N2
873,CC1(C)CC(=O)C2=C(C1)N=c1s/c(=C\c3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c(=O)n1C2c1c[nH]c2ccccc12,CC1(C)CC(=O)C2=C(C1)N=c1sc(=Cc3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c(=O)n1C2c1c[nH]c2ccccc12
874,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(s/c(=C\c3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c1=O)=N2,O=C1CC(c2ccccc2)CC2=C1C(c1c[nH]c3ccccc13)n1c(sc(=Cc3ccc(OCCNCCc4c[nH]c5ccccc45)cc3)c1=O)=N2
875,COc1ccc(C2CC(=O)C3=C(C2)N=c2s/c(=C\c4ccc(OCCNCCc5c[nH]c6ccccc56)cc4)c(=O)n2C3c2c[nH]c3ccccc23)cc1,COc1ccc(C2CC(=O)C3=C(C2)N=c2sc(=Cc4ccc(OCCNCCc5c[nH]c6ccccc56)cc4)c(=O)n2C3c2c[nH]c3ccccc23)cc1
876,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1
877,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(N5CCN6CCC[C@H]6C5)ccc4n3)cc12,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(N5CCN6CCCC6C5)ccc4n3)cc12
878,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN6CCC[C@H]6C5)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN6CCCC6C5)ccc4n3)cc(C)c2n1
879,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN6CCC[C@H]6C5)ccc4n3)ccc2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN6CCCC6C5)ccc4n3)ccc2n1
880,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCNCC5)cc(C)c4n3)cc12,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCNCC5)cc(C)c4n3)cc12
881,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN(O)C6(CC6)C5)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCN(O)C6(CC6)C5)ccc4n3)cc(C)c2n1
882,Cc1cc(Cl)nnc1Cl,Cc1cc(Cl)nnc1Cl
883,Cc1cn2nc(Cl)cc(C)c2n1,Cc1cn2nc(Cl)cc(C)c2n1
884,Cc1cn2nc(B3OC(C)(C)C(C)(C)O3)cc(C)c2n1,Cc1cn2nc(B3OC(C)(C)C(C)(C)O3)cc(C)c2n1
885,Nc1ccc(F)cn1,Nc1ccc(F)cn1
886,O=c1cc(Cl)nc2ccc(F)cn12,O=c1cc(Cl)nc2ccc(F)cn12
887,Cc1cn2nc(-c3cc(=O)n4cc(F)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(F)ccc4n3)cc(C)c2n1
888,O=C1OC(=O)c2c(O)cccc21,O=C1OC(=O)c2c(O)cccc21
889,COC(=O)c1cccc(O)c1C(=O)OC,COC(=O)c1cccc(O)c1C(=O)OC
890,O=C1c2ccccc2C(=O)N1CCCCBr,O=C1c2ccccc2C(=O)N1CCCCBr
891,[N-]=[N+]=NCCCCNC(=O)CCl,[N-]=[N+]=NCCCCNC(=O)CCl
